tau_bin,basis_variance,basis_std_dev,basis_mean,observation_count,avg_tau_days,sort_order
0-7d,0.32655294755022307,0.5714481144865412,-0.3144223637110748,355,4.264788732394366,0
8-14d,0.31410337163057933,0.5604492587474618,-0.3109290174056924,366,11.207650273224044,1
15-21d,0.3312589543155812,0.5755510006207801,-0.315376017259688,359,18.206128133704734,2
22-30d,0.8043046830810662,0.8968303535680905,-0.3280570111250014,386,25.53886010362694,3
31-45d,0.5950579831483226,0.7714000150040979,-0.48869557256283874,23,31.565217391304348,4
